age,Dept,location,education,recruitment_type,job_level,rating,onsite,awards,Certification,Salary,Age in Company,Hike,Weight,satisfied
39.33,3,2,2,1,3,4,1,5,1,191029,14.18,29,85,1
47.78,2,1,1,3,2,5,0,10,1,128561,7.76,7,50,1
21.5,4,1,2,3,3,3,1,4,1,70174,0.28,24,70,0
53.67,3,1,1,4,2,5,0,7,0,172706,2.0,29,59,0
51.26,4,2,1,2,5,5,0,9,0,112992,23.88,12,45,1
34.23,2,1,2,1,1,3,1,12,1,98492,9.66,19,67,1
59.96,3,1,1,2,3,3,0,6,1,192921,7.1,26,45,0
49.22,3,2,2,3,4,1,1,8,0,66851,17.98,8,60,0
54.02,5,2,2,1,2,3,1,1,0,163408,22.52,27,74,1
54.01,2,1,1,2,1,3,0,6,1,148690,5.08,1,43,0
36.3,1,2,2,3,1,3,1,11,1,117991,7.73,11,57,1
50.06,4,1,1,2,3,2,0,7,0,104647,3.02,23,56,1
34.8,4,1,1,4,5,5,0,8,0,170997,12.93,17,60,1
30.75,1,2,2,1,3,4,1,6,1,122992,9.11,24,50,1
43.45,1,2,1,1,3,4,0,10,1,83873,19.77,29,52,1
34.36,5,1,2,1,3,4,1,1,0,100634,8.54,25,81,1
31.36,5,2,2,3,2,2,1,1,0,62136,1.56,9,81,1
31.33,2,1,1,2,5,5,0,2,0,52268,4.42,5,46,0
59.14,3,1,2,1,5,2,1,9,0,87958,19.88,9,87,1
35.78,3,1,2,3,1,4,1,4,1,112635,2.27,20,81,1
34.55,4,1,1,3,4,3,0,6,1,153360,7.12,13,52,1
51.31,3,2,2,1,3,1,1,2,0,76918,14.47,29,80,1
43.42,1,2,1,4,5,4,0,3,0,119047,22.4,18,59,1
45.93,5,1,2,3,1,3,1,10,1,64253,19.81,1,76,1
46.78,5,1,1,2,4,3,0,11,1,43856,9.73,27,45,0
34.44,3,2,1,4,1,4,0,5,1,89374,12.19,6,45,1
36.21,3,2,1,4,3,4,0,4,1,109842,11.33,7,52,1
33.86,5,1,1,2,1,2,0,11,1,47374,5.68,30,48,0
23.55,3,1,1,2,2,4,0,12,1,107972,1.6,14,60,1
48.22,3,1,1,2,4,3,0,11,1,56599,0.72,8,41,0
59.73,2,2,1,4,5,2,0,5,1,89457,21.25,26,43,0
43.58,3,1,2,1,1,2,1,11,1,184663,4.73,4,62,1
48.93,3,1,1,2,5,5,0,11,1,147708,8.72,15,40,1
30.29,3,2,2,1,3,1,1,5,1,62586,1.22,0,71,1
21.01,1,2,1,4,2,4,0,7,0,55908,0.0,9,42,1
57.54,5,1,2,3,2,4,1,12,1,52066,34.62,28,90,0
43.08,2,1,1,4,2,2,0,1,0,165223,1.55,19,41,0
42.05,3,2,2,1,4,3,1,7,0,70862,21.05,10,64,1
43.45,4,1,1,2,1,5,0,1,0,48620,6.55,14,44,0
55.16,4,1,2,1,1,1,1,5,1,61314,25.25,12,57,0
54.73,2,1,1,4,2,3,0,7,0,55330,22.07,26,60,0
54.07,2,1,1,4,1,2,0,7,0,46983,13.08,0,49,0
57.25,5,2,1,3,1,1,0,8,0,100922,3.93,16,48,0
32.32,3,2,1,3,3,4,0,1,0,162416,4.55,30,60,0
46.69,5,1,1,4,2,4,0,8,0,138003,10.92,28,56,1
43.62,5,1,1,2,2,3,0,10,1,121037,12.79,20,40,0
52.95,3,2,1,4,3,4,0,12,1,72551,23.64,10,60,0
59.83,2,1,2,1,2,4,1,3,0,186162,38.39,21,77,1
32.33,1,2,1,2,3,3,0,11,1,130866,9.67,27,59,1
53.2,1,1,2,3,3,4,1,9,0,150142,23.9,30,68,1
22.91,5,1,2,1,5,3,1,1,0,162150,0.52,8,64,1
29.96,4,2,2,1,3,2,1,1,0,66625,2.56,14,82,1
56.15,2,1,2,1,5,4,1,12,1,81704,0.59,26,50,1
54.0,3,2,1,4,3,1,0,6,1,120949,21.16,8,49,1
58.82,2,2,1,4,3,2,0,9,0,179766,5.85,29,46,1
26.94,3,1,1,2,2,4,0,9,0,103658,1.87,28,43,0
57.15,5,2,1,3,3,2,0,9,0,60955,3.86,7,58,0
43.4,1,2,2,1,2,5,1,12,1,112141,21.59,8,89,1
59.2,2,1,2,1,3,1,1,3,0,139356,26.4,25,85,1
34.46,2,1,1,4,2,3,0,6,1,145397,11.16,1,57,1
44.49,3,2,1,2,3,3,0,12,1,54216,21.62,28,53,1
25.49,2,1,2,1,3,4,1,7,0,136929,4.02,2,54,0
21.9,2,1,2,1,3,4,1,1,0,91280,0.49,1,59,1
33.14,3,1,2,3,4,4,1,8,0,90757,9.96,18,52,1
38.85,5,1,2,1,2,4,1,1,0,54738,6.52,27,78,1
30.59,3,1,1,3,1,3,0,10,1,185559,5.8,16,47,1
24.6,2,1,1,2,2,2,0,9,0,154807,0.9,25,58,0
59.08,3,1,1,4,3,2,0,2,0,111935,0.47,7,49,1
53.01,3,1,1,2,3,4,0,11,1,195930,30.71,4,53,0
56.68,1,1,1,1,2,4,0,12,1,147804,26.6,16,47,1
49.3,2,2,1,4,5,2,0,4,1,110609,19.29,26,51,0
28.3,4,1,2,1,1,1,1,12,1,116911,2.65,10,83,1
33.32,1,1,2,1,1,5,1,7,0,123855,4.05,18,62,1
49.97,2,1,2,1,1,5,1,11,1,95472,27.71,0,51,1
40.84,5,1,1,4,3,4,0,12,1,153268,11.62,27,45,0
29.32,3,2,1,2,2,1,0,11,1,51942,4.71,26,42,0
35.23,2,1,1,3,2,5,0,7,0,169736,10.08,18,57,0
41.37,1,2,2,3,1,4,1,4,1,124902,7.33,28,74,1
43.37,2,2,1,2,3,1,0,1,0,83768,1.49,26,44,1
30.56,3,1,1,4,1,4,0,5,1,84072,5.24,9,56,1
47.75,5,2,2,3,1,2,1,9,0,162448,11.89,10,74,1
48.99,1,1,1,2,5,2,0,10,1,79461,1.75,9,49,1
24.88,3,2,1,3,5,2,0,3,0,142005,0.33,28,59,0
55.93,3,2,2,1,1,5,1,8,0,183623,33.93,15,60,1
51.95,4,1,1,2,3,4,0,5,1,41024,15.22,26,44,1
58.63,5,1,1,4,1,3,0,11,1,112051,24.68,2,45,0
52.69,1,1,2,1,4,3,1,12,1,119274,30.61,3,54,0
48.28,2,1,1,3,1,3,0,8,0,66696,19.94,23,47,0
40.52,2,2,2,3,2,4,1,10,1,187156,17.83,27,69,1
43.32,3,1,1,3,3,2,0,8,0,167603,15.98,18,59,1
39.95,4,1,2,3,2,1,1,10,1,110783,16.81,24,82,1
44.92,1,1,2,1,3,3,1,8,0,137678,10.95,5,58,0
37.2,2,1,2,1,2,1,1,5,1,197687,6.21,14,74,1
21.78,3,1,2,1,3,2,1,5,1,145579,0.24,24,79,1
38.12,5,2,2,1,1,5,1,11,1,188142,6.68,26,56,0
41.11,5,1,2,1,1,1,1,3,0,71733,0.33,15,50,0
38.32,3,2,1,4,2,2,0,9,0,97120,11.84,8,58,1
38.92,4,1,1,4,2,2,0,5,1,102475,8.24,10,60,0
22.52,3,1,2,1,1,3,1,3,0,111868,1.33,22,80,1
48.55,2,1,1,2,1,4,0,5,1,157312,0.17,20,48,1
32.27,3,1,1,4,1,3,0,3,0,150113,2.33,17,59,1
29.38,5,2,2,3,3,3,1,7,0,174316,6.01,6,67,1
28.76,1,1,2,3,3,3,1,10,1,43886,0.79,29,61,1
36.91,2,2,2,1,3,5,1,6,1,118639,4.14,13,54,1
58.04,3,1,2,1,1,1,1,9,0,73981,16.85,7,77,0
31.98,2,1,2,1,4,5,1,2,0,59156,6.44,18,88,1
55.32,5,1,2,1,1,1,1,12,1,180027,23.59,26,79,1
31.31,4,2,1,2,3,4,0,12,1,58227,3.58,4,45,1
29.68,4,1,2,3,2,1,1,11,1,51194,4.67,6,56,0
53.25,4,1,2,3,4,4,1,6,1,139587,2.16,17,80,1
43.96,1,1,2,1,1,4,1,7,0,102525,14.04,13,63,1
53.82,4,1,2,1,3,4,1,5,1,159366,2.23,0,52,1
28.84,4,2,1,4,1,3,0,4,1,181881,5.3,27,56,0
47.93,5,2,2,3,1,3,1,10,1,85225,3.76,22,59,1
55.3,3,1,1,4,3,3,0,3,0,92523,24.38,20,52,0
25.96,3,1,1,2,3,4,0,10,1,108627,4.76,15,43,0
51.23,2,1,1,2,2,1,0,6,1,136321,21.15,2,42,0
55.46,5,2,1,2,5,3,0,3,0,55222,9.34,13,42,0
54.3,5,1,1,2,2,4,0,7,0,82571,6.06,27,45,1
22.21,5,1,2,1,2,4,1,8,0,158366,0.96,26,61,0
26.14,3,2,1,2,5,2,0,10,1,127457,2.81,1,42,1
24.47,5,1,2,1,1,3,1,5,1,180760,3.17,23,60,0
46.71,3,2,1,2,2,3,0,6,1,89124,2.1,18,46,0
55.5,3,1,2,1,1,4,1,11,1,149216,2.68,2,71,1
30.95,2,1,2,1,5,4,1,12,1,163384,7.63,24,82,1
27.32,3,1,1,2,3,4,0,4,1,87550,6.3,12,58,1
59.64,1,2,1,4,1,5,0,9,0,45042,31.87,5,60,0
57.72,2,2,1,2,3,5,0,6,1,172594,20.1,2,43,1
37.59,5,1,1,3,3,5,0,4,1,139853,0.27,23,51,1
45.54,3,1,1,2,4,3,0,8,0,58337,10.96,29,49,0
44.01,1,2,2,1,1,3,1,10,1,152095,15.8,12,80,0
55.19,2,1,2,3,3,3,1,5,1,153196,23.2,30,81,0
49.12,2,2,2,3,5,5,1,9,0,132774,15.84,16,50,1
28.4,2,2,1,1,3,5,0,9,0,155397,4.91,14,51,0
50.08,3,1,1,4,3,5,0,10,1,153454,8.77,21,47,0
32.22,1,1,1,3,2,2,0,7,0,111501,2.01,27,42,1
41.12,1,2,1,2,3,3,0,10,1,90709,15.76,28,40,1
29.33,3,1,1,2,3,2,0,4,1,183037,0.3,6,43,1
51.93,2,1,1,3,3,5,0,7,0,86200,5.04,25,57,0
28.54,1,2,2,1,1,4,1,11,1,146270,3.72,19,61,1
59.28,1,2,1,2,3,3,0,3,0,47380,25.39,13,55,0
30.51,2,2,2,1,1,4,1,6,1,170093,4.16,19,68,1
44.96,2,1,2,1,4,3,1,8,0,113820,2.97,30,64,1
41.84,3,1,2,1,2,4,1,5,1,137042,6.21,2,72,1
43.87,2,1,2,1,2,3,1,10,1,54164,6.81,20,68,0
40.29,2,1,1,2,1,3,0,8,0,92435,13.96,21,57,0
26.42,2,2,2,1,3,5,1,9,0,78706,4.87,27,67,1
47.29,2,1,1,4,4,3,0,6,1,126641,0.09,10,50,0
44.22,2,2,2,1,3,4,1,6,1,152595,9.08,6,83,1
34.73,3,1,2,3,4,2,1,4,1,115464,3.25,10,50,1
53.88,4,1,1,3,5,2,0,5,1,54658,18.21,8,57,1
55.97,2,2,1,1,3,3,0,8,0,103669,8.99,15,58,1
43.25,3,1,1,2,2,1,0,9,0,66860,16.87,25,55,0
55.1,2,2,1,4,3,3,0,4,1,76612,10.31,7,58,0
30.73,2,2,2,1,1,3,1,4,1,139380,0.25,18,69,0
56.45,2,1,2,1,1,3,1,1,0,145012,15.55,19,81,1
54.97,2,2,1,4,1,2,0,9,0,56308,27.9,17,44,0
32.36,2,1,2,1,2,3,1,4,1,127841,8.3,29,76,0
37.7,3,1,1,2,1,3,0,7,0,126983,10.06,28,54,1
34.22,4,2,1,2,5,4,0,6,1,118336,2.16,20,50,1
26.93,5,1,1,3,2,5,0,11,1,47938,0.67,17,55,0
40.7,2,2,1,3,1,2,0,5,1,138145,6.21,28,54,0
40.33,3,1,1,2,3,4,0,3,0,180485,8.41,8,58,0
30.27,2,1,2,3,3,3,1,5,1,64587,7.22,30,73,0
54.81,1,1,2,1,3,3,1,4,1,88910,26.29,22,84,0
43.98,5,2,2,1,1,5,1,11,1,96049,7.71,8,80,0
25.5,4,2,2,3,3,4,1,6,1,104310,0.14,28,84,1
43.49,2,1,2,1,3,4,1,12,1,140496,19.6,1,83,1
50.82,2,2,1,2,2,2,0,8,0,199039,1.92,26,48,1
32.29,3,2,1,4,1,2,0,12,1,72111,0.62,14,54,1
59.92,3,1,1,2,1,4,0,11,1,96788,29.68,6,51,0
50.26,3,2,2,1,3,3,1,6,1,121070,22.14,4,60,1
36.28,5,1,2,1,3,3,1,10,1,103292,12.76,28,72,0
41.4,2,1,1,3,2,1,0,1,0,61418,4.5,5,55,0
36.64,2,2,2,1,3,5,1,1,0,102655,5.54,12,59,1
23.89,2,1,1,2,3,4,0,9,0,62100,2.85,23,44,0
44.08,4,1,1,2,3,4,0,3,0,124300,1.35,24,53,1
55.31,1,1,1,2,1,1,0,3,0,186091,19.37,24,45,1
45.5,5,1,2,1,3,5,1,11,1,165554,9.67,0,65,0
32.16,1,1,1,1,5,5,0,2,0,42661,9.49,21,45,1
21.17,2,2,1,2,1,1,0,7,0,194845,0.05,28,45,1
25.69,5,1,1,2,3,2,0,2,0,137777,1.42,25,40,0
41.7,2,2,1,2,1,4,0,5,1,180534,17.2,3,55,1
22.81,2,2,1,1,1,2,0,1,0,107605,1.57,30,43,1
43.11,3,2,2,1,3,3,1,1,0,190366,6.55,12,63,1
47.44,2,1,2,1,3,4,1,9,0,100160,16.85,19,84,1
21.27,3,2,2,1,4,4,1,6,1,166549,0.13,6,61,1
38.0,2,2,1,2,4,4,0,8,0,90066,4.95,17,60,1
21.52,1,1,2,1,1,5,1,6,1,141459,0.15,13,87,0
27.16,2,1,1,3,3,4,0,1,0,111452,1.55,14,60,0
40.55,5,2,1,2,3,4,0,5,1,98962,9.25,0,45,0
38.87,5,2,2,1,1,2,1,8,0,113961,10.97,15,50,0
35.58,1,1,2,3,2,4,1,12,1,166375,10.59,26,66,1
53.64,4,2,1,2,4,3,0,12,1,106897,26.63,24,56,0
40.72,3,2,1,4,2,1,0,6,1,102039,17.15,23,43,0
42.02,1,1,1,2,3,4,0,4,1,176488,1.25,13,57,1
39.59,3,2,2,1,1,3,1,5,1,123524,11.17,25,66,0
27.38,2,2,2,3,1,4,1,6,1,161272,3.08,22,50,1
23.28,1,2,2,3,3,4,1,6,1,41454,0.1,18,79,1
21.96,3,1,1,4,1,2,0,6,1,90623,0.08,4,44,1
38.4,2,2,1,1,1,2,0,10,1,103969,0.82,3,56,1
31.09,2,1,1,2,1,4,0,8,0,131382,3.97,25,51,0
30.56,3,2,1,2,1,4,0,4,1,116789,2.25,12,59,1
47.71,2,1,1,2,2,2,0,12,1,107627,23.66,13,43,0
28.94,1,1,2,1,5,3,1,3,0,163931,6.37,10,75,0
37.17,2,1,2,3,1,5,1,11,1,138565,2.7,5,73,1
48.23,5,2,1,2,3,3,0,2,0,54028,1.42,18,40,0
29.21,3,2,2,3,3,3,1,4,1,139543,7.28,10,54,1
58.73,3,2,2,3,5,1,1,10,1,97287,26.76,14,62,1
44.24,3,2,1,4,1,5,0,12,1,131191,9.58,17,50,1
24.77,3,1,1,4,5,4,0,12,1,98065,3.6,13,49,0
48.85,2,2,1,2,5,4,0,8,0,141690,6.98,13,50,1
50.35,4,2,1,2,1,5,0,12,1,48071,6.59,24,49,1
57.59,5,1,2,1,1,1,1,7,0,127160,8.06,29,52,1
47.0,3,2,1,2,5,4,0,10,1,125198,19.84,10,40,1
29.98,2,1,1,2,2,4,0,3,0,55173,3.35,16,43,0
54.97,3,2,2,3,3,4,1,8,0,42972,30.96,28,89,1
30.76,5,1,1,2,2,3,0,1,0,176403,6.5,12,42,0
47.57,3,2,1,2,4,5,0,4,1,75632,4.25,26,54,0
29.42,2,1,1,3,1,2,0,5,1,109378,3.24,19,42,1
37.84,3,1,2,3,3,3,1,9,0,43835,15.88,1,85,1
40.96,3,1,1,1,4,5,0,5,1,43383,6.21,30,57,0
58.45,3,1,1,4,2,4,0,8,0,105980,6.97,9,54,1
22.92,5,1,1,2,4,4,0,4,1,44469,1.25,27,55,0
53.79,3,2,2,1,3,1,1,10,1,40163,19.76,22,74,0
35.62,3,1,1,2,2,4,0,5,1,49595,10.21,1,54,1
35.44,2,1,1,2,2,2,0,11,1,141758,10.7,6,51,1
41.69,1,1,2,1,1,4,1,1,0,133895,5.54,3,71,1
32.72,2,2,1,4,2,5,0,6,1,181614,9.16,13,55,1
46.85,3,1,2,1,1,3,1,6,1,196065,22.16,24,64,1
33.66,4,2,2,1,2,5,1,7,0,109889,1.06,19,88,1
35.9,3,1,2,1,2,3,1,1,0,166883,8.53,15,61,1
33.1,3,1,1,4,2,3,0,9,0,150501,5.84,28,43,1
54.99,5,2,2,1,1,2,1,5,1,125847,27.22,27,79,0
32.08,2,1,1,4,1,2,0,11,1,51204,3.7,26,58,1
50.16,3,1,1,2,1,3,0,3,0,70943,18.4,8,41,0
27.5,2,2,2,1,3,1,1,7,0,174297,2.05,9,88,0
47.07,5,1,1,2,2,3,0,11,1,86531,0.69,22,60,0
30.99,3,1,2,1,1,5,1,11,1,112941,9.67,15,76,1
48.05,3,1,1,2,1,4,0,5,1,94367,20.19,2,43,1
39.06,3,2,2,1,2,2,1,7,0,158127,18.05,25,70,1
36.32,4,1,2,1,1,5,1,4,1,172737,0.26,15,73,1
32.49,3,1,2,3,1,3,1,11,1,101240,3.73,16,77,1
48.58,5,1,1,3,3,3,0,4,1,68726,26.33,8,43,0
43.99,5,2,2,1,1,2,1,9,0,137275,19.91,17,67,0
42.69,4,2,2,3,4,3,1,7,0,88612,16.0,22,56,1
21.03,5,1,2,3,3,4,1,7,0,193652,0.0,27,79,1
28.74,2,2,1,2,2,3,0,6,1,151375,4.08,15,57,0
30.07,3,2,1,3,3,1,0,5,1,129680,3.21,16,52,0
34.31,1,2,1,2,2,4,0,9,0,70341,1.86,3,54,1
21.88,5,1,2,3,1,3,1,10,1,91630,0.75,29,81,0
59.96,5,2,2,1,1,5,1,4,1,167948,18.28,20,58,1
55.2,5,1,1,4,1,5,0,2,0,188439,17.45,2,41,0
25.02,1,1,1,3,2,2,0,12,1,88635,2.65,17,45,0
42.64,5,1,2,1,1,5,1,12,1,133037,10.65,23,52,0
54.61,2,2,1,3,2,2,0,11,1,114860,0.69,3,53,0
32.81,5,1,1,2,3,5,0,9,0,174303,5.83,11,46,0
54.88,2,2,1,4,2,3,0,6,1,51238,24.14,8,48,0
53.73,1,2,1,2,1,4,0,6,1,44639,26.14,2,41,1
58.55,3,2,2,3,1,3,1,10,1,61810,5.82,25,76,0
24.43,2,2,2,3,3,2,1,4,1,48180,0.24,7,83,0
53.64,2,2,1,2,3,4,0,11,1,45427,6.73,15,55,1
46.9,2,1,1,2,3,3,0,2,0,134612,23.45,26,51,0
36.54,1,2,2,3,1,3,1,4,1,94275,1.27,11,51,0
25.17,2,1,2,1,2,3,1,1,0,43634,0.5,12,71,0
55.24,5,1,2,3,3,5,1,8,0,140508,0.94,4,58,1
54.75,1,1,2,1,3,5,1,6,1,125034,27.18,28,71,1
47.85,2,1,2,1,3,4,1,8,0,136017,19.94,13,85,1
22.22,2,1,1,4,3,1,0,6,1,79388,0.15,16,51,0
22.35,2,2,1,4,2,4,0,10,1,70318,0.74,25,60,1
53.17,2,2,2,1,3,1,1,3,0,104393,27.4,30,57,1
31.65,4,1,1,3,4,2,0,3,0,131574,3.36,9,48,1
53.33,3,2,1,1,1,4,0,8,0,171817,21.96,1,44,1
21.82,4,1,1,2,1,2,0,6,1,75727,0.1,4,49,1
58.92,1,1,1,2,1,5,0,11,1,80080,9.74,24,40,0
21.61,2,2,2,3,2,4,1,2,0,108771,0.44,1,60,1
31.34,3,2,1,2,3,3,0,4,1,87454,10.25,26,42,0
49.23,2,2,1,4,3,3,0,6,1,187136,17.1,5,47,0
32.05,3,1,2,3,4,3,1,1,0,50894,6.55,18,81,1
48.33,4,2,1,4,3,4,0,6,1,121209,2.16,3,43,1
36.68,1,2,1,2,1,1,0,9,0,155490,5.85,13,44,1
48.33,2,2,2,1,2,5,1,7,0,186975,22.07,9,73,1
51.46,3,1,2,1,4,4,1,9,0,119542,8.85,26,68,1
41.86,1,2,1,2,2,4,0,6,1,70775,6.16,13,45,1
24.83,3,1,2,3,1,1,1,9,0,40269,2.87,4,72,0
47.59,4,1,2,1,5,3,1,5,1,92207,1.16,5,62,1
22.37,1,2,2,3,3,3,1,5,1,165134,0.19,8,60,0
46.2,2,2,2,1,1,1,1,7,0,50134,12.0,13,80,0
40.89,4,2,1,2,3,5,0,8,0,113794,2.98,28,50,1
23.68,5,2,2,3,1,3,1,12,1,196828,1.63,30,89,1
46.84,2,2,1,2,1,2,0,2,0,195687,20.5,24,55,0
43.82,3,1,1,4,3,3,0,10,1,85233,10.75,10,44,0
43.99,1,2,2,1,3,1,1,7,0,148223,5.04,28,76,0
37.99,2,1,2,3,2,3,1,10,1,194362,4.77,29,58,1
53.25,1,1,2,1,2,4,1,4,1,100624,8.28,8,73,1
53.14,3,1,2,1,2,1,1,11,1,77801,11.67,1,70,1
43.87,5,1,2,1,3,4,1,5,1,128370,16.21,22,87,1
22.09,2,1,2,1,4,4,1,9,0,100364,0.9,4,50,0
49.8,2,2,2,1,2,3,1,1,0,83278,11.54,1,81,0
31.02,5,1,2,1,5,1,1,11,1,107848,9.73,23,74,0
42.33,3,2,1,2,3,4,0,9,0,144207,20.88,19,47,1
31.26,3,1,2,1,1,5,1,8,0,94926,4.98,15,71,1
27.02,3,1,1,2,2,4,0,11,1,173384,2.73,30,52,1
48.28,5,2,1,2,1,3,0,2,0,136165,9.42,9,57,0
52.78,2,2,2,3,2,4,1,9,0,163359,15.86,8,66,1
29.99,2,1,2,1,4,3,1,2,0,85164,4.46,0,56,1
55.29,4,1,2,3,3,3,1,5,1,99583,17.17,16,69,1
36.2,3,2,2,1,1,1,1,5,1,66822,4.17,15,82,1
41.66,2,1,1,2,3,3,0,5,1,163611,7.22,9,52,0
28.46,4,1,2,1,2,2,1,4,1,107729,4.28,10,74,1
31.29,2,2,1,4,2,5,0,5,1,161927,10.2,12,44,1
40.01,1,1,1,2,2,4,0,10,1,169677,14.79,20,44,1
26.02,3,2,1,4,2,4,0,12,1,145401,3.62,22,57,1
24.07,5,2,1,2,4,4,0,4,1,131304,1.29,15,56,0
48.55,2,1,1,4,2,1,0,4,1,64367,6.32,1,55,0
43.37,3,1,2,1,5,3,1,11,1,102860,13.7,22,58,1
54.0,5,2,2,1,4,3,1,2,0,184326,13.45,29,60,1
59.91,3,1,1,2,5,4,0,2,0,59099,8.45,28,58,0
26.9,3,2,2,1,2,3,1,5,1,187269,5.21,22,64,0
26.93,3,1,1,2,3,3,0,1,0,55290,4.55,4,40,1
29.27,3,2,1,1,1,3,0,12,1,43636,2.65,17,43,1
49.27,1,1,1,2,1,4,0,9,0,91361,3.85,21,46,1
44.04,5,1,2,1,4,2,1,8,0,179897,10.92,22,70,0
26.78,5,1,2,1,3,3,1,12,1,169165,5.58,13,59,0
42.64,1,2,1,2,5,4,0,6,1,106743,21.12,2,45,1
29.16,2,2,2,1,3,4,1,10,1,167865,6.78,3,80,1
42.95,4,1,1,2,1,4,0,1,0,152926,19.51,22,59,0
36.95,1,1,2,1,3,2,1,11,1,162460,2.67,24,76,0
40.43,5,2,1,3,2,3,0,7,0,109707,0.0,1,46,1
23.79,3,1,1,2,2,1,0,12,1,90416,2.62,12,42,0
46.48,2,1,1,4,2,5,0,5,1,150936,22.19,19,53,1
28.93,3,1,1,2,5,5,0,1,0,111437,0.51,29,46,0
39.11,5,1,1,4,3,2,0,3,0,153752,11.39,9,49,1
25.05,3,1,1,4,1,3,0,3,0,165354,2.36,24,53,1
59.79,5,1,2,1,2,4,1,5,1,144914,20.25,11,85,1
49.18,5,1,2,1,2,4,1,2,0,153138,16.48,9,70,1
27.66,3,1,1,4,2,2,0,3,0,157753,1.39,19,41,1
51.06,3,1,1,4,3,3,0,5,1,126046,26.2,21,53,0
50.86,3,2,2,1,2,5,1,7,0,64751,24.07,7,52,1
